Date,Portfolio_Return,Regime,Market_Return,Cumulative_Portfolio,Cumulative_Market,Portfolio_Return_Net,Cumulative_Portfolio_Net
2016-09-30,-0.03161143323975982,Bull,0.0027,3.8548113039534844,2.231462491454035,-0.03261143323975982,3.584249634102428
2016-10-31,0.09502394122191135,Bull,-0.0200999999999999,4.22111066672192,2.186610095375809,0.09402394122191135,3.9212549110239316
2016-11-30,0.019802754463422566,Bull,0.0484999999999999,4.304700284817947,2.2926606850015356,0.018802754463422566,3.9949853043044046
2016-12-31,0.023237058587254517,Bull,0.0181,4.404728857536833,2.3341578434000634,0.022237058587254516,4.083822026571442
2017-01-31,0.033291616975269896,Bull,0.0194,4.551369403541868,2.379440505562025,0.032291616975269895,4.215695243248658
2017-02-28,0.05076071980727574,Bull,0.0355,4.782400190574464,2.463910643509477,0.04976071980727574,4.42547127304082
2017-03-31,0.01785069830212142,Bull,0.0017,4.867769373536416,2.468099291603443,0.01685069830212142,4.5000435543075366
2017-04-30,0.03404128860310365,Bull,0.0108,5.033474515634318,2.49475476395276,0.03304128860310365,4.648730792111949
2017-05-31,-0.002879160577097012,Bull,0.0107,5.0189823342430815,2.5214486399270544,-0.003879160577097012,4.630697618889651
2017-06-30,0.030590164187460734,Bull,0.0078,5.1725138279015415,2.5411159393184857,0.029590164187460733,4.767720721735079
2017-07-31,-0.006076719854019169,Bull,0.0187999999999999,5.141081910428344,2.588888918977673,-0.007076719854019169,4.733980897845158
2017-08-31,0.023760116059282126,Bull,0.0018,5.263234613290398,2.5935489190318326,0.022760116059282125,4.841726852502538
2017-09-30,0.03992714937462488,Bull,0.0249,5.47338056788894,2.658128287115725,0.03892714937462488,5.030201476921037
2017-10-31,0.028391507816506366,Bull,0.0225,5.628778095064874,2.7179361735758287,0.027391507816506365,5.167986279994721
2017-11-30,0.0001805160973464226,Bull,0.0312,5.629794180119425,2.8027357821913945,-0.0008194839026535774,5.16375119842913
2017-12-31,0.03019294151686839,Bull,0.0106,5.799774226551777,2.8324447814826232,0.02919294151686839,5.314496285172531
2018-01-31,-0.043826455736396965,Bull,0.0558,5.545590678130709,2.9904952002893537,-0.044826455736396965,5.076266252683999
2018-02-28,-0.018287155862414285,Bull,-0.0364,5.444177597050581,2.8816411749988213,-0.019287155862414286,4.978359514269369
2018-03-31,0.0018910358639322056,Bull,-0.0235,5.45447273213622,2.813922607386349,0.0008910358639322056,4.982795411140131
2018-04-30,0.05804111791002632,Bull,0.0029,5.771056427119162,2.8220829829477694,0.05704111791002632,5.267019631708513
2018-05-31,0.043529283381158815,Bull,0.0263,6.0222663777438905,2.8963037653992956,0.042529283381158814,5.491022202199572
2018-06-30,0.025336826679757774,Bull,0.0049,6.17485149717612,2.9104956538497517,0.024336826679757773,5.624656257829204
2018-07-31,0.07256882632313141,Bull,0.032,6.622953223045823,3.0036315147729438,0.07156882632313141,6.027206304673096
2018-08-31,0.013165122989492978,Bull,0.0346,6.710145216780879,3.1075571651840876,0.012165122989492978,6.100528010652492
2018-09-30,-0.12853507152505209,Bull,0.0006,5.847656221398463,3.109421699483198,-0.1295350715250521,5.310295678452038
2018-10-31,0.056123730399710484,Bear,-0.0764,6.175848502638419,2.8718618816426815,0.05512373039971048,5.603018985773776
2018-11-30,-0.05212639400406419,Bear,0.0171,5.853923790280479,2.920970719818771,-0.053126394004064194,5.305350791523306
2018-12-31,0.07049805162532889,Bear,-0.0955,6.2666140118584135,2.642018016076078,0.06949805162532889,5.6740623347230725
2019-01-31,0.04329377443897948,Bear,0.0836,6.53791938538396,2.8628907222200377,0.04229377443897948,5.914039847260559
2019-02-28,0.007749385405675968,Bull,0.0342,6.588584242452541,2.960801584919963,0.006749385405675968,5.9539559814942455
2019-03-31,0.035919668262037435,Bull,0.011,6.825244002757923,2.9933704023540826,0.034919668262037434,6.161866149214798
2019-04-30,-0.05476925083144575,Bull,0.0397,6.451430501985054,3.1122072073275397,-0.05576925083144575,5.8182234903494425
2019-05-31,0.11695501058582877,Bull,-0.0692,7.2059576246384545,2.896842468580474,0.11595501058582877,6.492875656763629
2019-06-30,0.028533521922966248,Bull,0.0699,7.411568974497042,3.0993317571342494,0.027533521922966247,6.671647391002224
2019-07-31,-0.05071323840629571,Bull,0.0121999999999999,7.035704310128669,3.1371436045712873,-0.051713238406295714,6.326634898908585
2019-08-31,0.00979433685277421,Bull,-0.0255,7.104614368138585,3.0571464426547195,0.008794336852774209,6.382273457354105
2019-09-30,0.008229352249493328,Bull,0.0141999999999999,7.163080742370809,3.1005579221404163,0.0072293522494933276,6.428413160329909
2019-10-31,0.034567880943482704,Bull,0.0207,7.410693264661637,3.1647394711287227,0.0335678809434827,6.644201367951381
2019-11-30,0.05634041952982808,Bull,0.0387,7.828214832199545,3.287214888661404,0.05534041952982808,7.011894259094468
2019-12-31,0.008551110359247448,Bull,0.0276,7.895154761145581,3.3779420195884593,0.007551110359247448,7.064841846472264
2020-01-31,-0.11053103558021408,Bull,-0.0009,7.022495129330102,3.3749018717708297,-0.11153103558021409,6.276892719124781
2020-02-29,-0.19776429344538932,Volatile,-0.0815,5.633696341854447,3.099847369221507,-0.19876429344538932,5.029270572775435
2020-03-31,0.12780568727001335,Volatile,-0.1335,6.353714774695714,2.686017745430436,0.12680568727001335,5.6670106842230785
